date,temp_max,temp_min,temp_avg,precipitation,rain,snowfall,wind_max
2020-01-01,4.3,-1.4,2.0,0.0,0.0,0.0,28.2
2020-01-02,8.9,-2.3,2.6,0.0,0.0,0.0,17.3
2020-01-03,9.3,2.2,6.6,4.5,4.5,0.0,12.4
2020-01-04,10.0,4.2,7.5,6.2,6.2,0.0,25.9
2020-01-05,5.1,-1.5,2.5,0.4,0.4,0.0,37.1
2020-01-06,7.6,-0.5,2.9,1.3,0.0,0.91,25.9
2020-01-07,6.0,-0.7,2.4,0.8,0.6,0.14,17.9
2020-01-08,5.0,-2.3,0.8,0.1,0.0,0.07,33.1
2020-01-09,0.5,-5.0,-2.2,0.0,0.0,0.0,23.2
2020-01-10,11.1,-1.2,5.3,0.0,0.0,0.0,24.8
2020-01-11,18.3,7.8,14.1,0.2,0.2,0.0,34.2
2020-01-12,18.7,5.3,14.2,2.7,2.7,0.0,45.6
2020-01-13,8.8,1.1,4.7,0.2,0.2,0.0,18.4
2020-01-14,6.7,0.9,4.2,0.3,0.3,0.0,15.3
2020-01-15,9.3,2.9,5.7,0.1,0.1,0.0,16.1
2020-01-16,8.6,0.7,5.5,1.8,1.8,0.0,38.8
2020-01-17,-0.1,-5.9,-3.4,0.0,0.0,0.0,34.9
2020-01-18,2.4,-6.3,-2.9,8.4,0.6,5.46,24.2
2020-01-19,7.0,-1.5,2.6,1.5,1.5,0.0,28.7
2020-01-20,-0.9,-7.2,-4.1,0.0,0.0,0.0,26.1
2020-01-21,1.1,-6.7,-3.5,0.0,0.0,0.0,17.4
2020-01-22,2.9,-5.4,-2.3,0.0,0.0,0.0,9.4
2020-01-23,6.9,-4.5,0.1,0.0,0.0,0.0,9.9
2020-01-24,9.5,-2.8,2.8,0.0,0.0,0.0,12.7
2020-01-25,9.6,0.8,5.1,25.5,25.5,0.0,34.2
2020-01-26,7.8,0.7,3.8,0.0,0.0,0.0,22.7
2020-01-27,7.2,-0.5,3.3,0.0,0.0,0.0,22.3
2020-01-28,5.4,-0.5,2.8,0.0,0.0,0.0,22.4
2020-01-29,4.3,-3.0,0.4,0.0,0.0,0.0,18.9
2020-01-30,1.2,-5.6,-1.9,0.0,0.0,0.0,16.3
2020-01-31,6.3,-2.8,2.2,1.1,1.1,0.0,11.9
2020-02-01,5.5,-0.9,2.5,0.5,0.5,0.0,7.5
2020-02-02,6.1,0.4,2.6,3.4,2.4,0.7,20.3
2020-02-03,12.4,0.0,5.8,0.1,0.1,0.0,18.5
2020-02-04,13.1,2.6,7.2,2.5,2.5,0.0,17.6
2020-02-05,8.5,3.1,4.7,0.8,0.8,0.0,21.3
2020-02-06,6.5,2.1,4.3,16.0,16.0,0.0,19.1
2020-02-07,13.9,0.5,4.8,10.1,9.5,0.42,46.6
2020-02-08,4.8,-2.4,0.8,0.0,0.0,0.0,25.1
2020-02-09,6.5,-2.2,1.5,0.0,0.0,0.0,13.2
2020-02-10,8.8,3.4,5.6,10.3,10.3,0.0,25.5
2020-02-11,7.5,4.8,6.2,8.6,8.6,0.0,16.3
2020-02-12,7.2,0.8,4.3,0.7,0.7,0.0,23.3
2020-02-13,6.5,2.2,4.2,19.2,19.2,0.0,21.4
2020-02-14,2.4,-7.9,-1.6,0.0,0.0,0.0,27.2
2020-02-15,-1.7,-9.3,-5.4,0.0,0.0,0.0,20.9
2020-02-16,7.6,-3.0,1.6,0.0,0.0,0.0,16.1
2020-02-17,9.7,-0.2,3.7,0.0,0.0,0.0,15.3
2020-02-18,9.2,0.4,4.6,1.3,1.3,0.0,17.7
2020-02-19,8.0,-1.1,4.5,0.0,0.0,0.0,24.7
